frame,x1,y1,x2,y2,conf
571,464.48,437.19,484.88,466.06,0.815
572,465.62,421.47,479.85,446.28,0.524
573,461.91,437.4,479.68,465.45,0.771
574,463.9,441.6,481.24,468.87,0.739
575,465.89,445.8,482.8,472.3,0.708
576,468.99,444.94,486.32,472.73,0.684
577,473.64,435.98,490.69,462.7,0.732
578,479.75,420.78,496.24,448.0,0.718
579,474.65,412.03,490.46,438.05,0.691
580,469.54,403.27,484.67,428.11,0.665
581,464.44,394.51,478.89,418.17,0.639
582,459.33,385.75,473.1,408.22,0.612
583,454.23,376.99,467.32,398.28,0.586
584,449.12,368.23,461.53,388.34,0.559
585,454.97,366.02,467.3,386.19,0.564
586,460.81,363.81,473.08,384.04,0.568
587,466.65,361.6,478.86,381.89,0.572
588,472.49,359.39,484.63,379.75,0.577
589,478.33,357.18,490.41,377.6,0.581
590,484.17,354.97,496.18,375.45,0.586
591,490.02,352.76,501.96,373.3,0.59
592,495.86,350.56,507.73,371.16,0.594
593,501.7,348.35,513.51,369.01,0.599
594,507.54,346.14,519.28,366.86,0.603
595,513.38,343.93,525.06,364.71,0.607
596,519.22,341.72,530.83,362.57,0.612
597,525.07,339.51,536.61,360.42,0.616
598,530.91,337.3,542.38,358.27,0.62
599,536.75,335.09,548.16,356.12,0.625
600,542.59,332.88,553.93,353.98,0.629
601,548.43,330.67,559.71,351.83,0.634
602,554.27,328.47,565.48,349.68,0.638
603,560.12,326.26,571.26,347.53,0.642
604,565.96,324.05,577.03,345.38,0.647
605,571.8,321.84,582.81,343.24,0.651
606,577.64,319.63,588.58,341.09,0.655
607,583.48,317.42,594.36,338.94,0.66
608,589.32,315.21,600.13,336.79,0.664
609,595.16,313.0,605.91,334.65,0.669
610,587.63,314.09,598.69,335.63,0.649
611,580.09,315.17,591.47,336.61,0.628
612,572.55,316.25,584.25,337.59,0.608
613,565.02,317.33,577.02,338.56,0.588
614,557.48,318.41,569.8,339.54,0.568
615,549.94,319.5,562.58,340.52,0.548
616,547.43,311.41,560.06,332.59,0.572
617,544.93,303.32,557.54,324.65,0.597
618,542.42,295.24,555.02,316.72,0.621
619,539.91,287.15,552.49,308.78,0.645
620,537.4,279.06,549.97,300.84,0.669
621,534.89,270.97,547.45,292.91,0.693
622,532.38,262.89,544.93,284.97,0.717
623,529.87,254.8,542.4,277.03,0.742
624,527.37,246.71,539.88,269.1,0.766
625,543.51,260.11,556.54,283.06,0.751
626,559.65,273.51,573.2,297.03,0.737
627,575.8,286.91,589.86,310.99,0.722
628,591.94,300.31,606.52,324.96,0.707
