frame,x1,y1,x2,y2,conf
378,427.79,396.94,443.41,422.09,0.602
379,440.36,385.28,455.64,408.94,0.583
380,452.93,373.61,467.88,395.78,0.564
381,465.51,361.95,480.11,382.62,0.545
382,443.28,378.13,459.13,402.42,0.54
383,421.05,394.31,438.14,422.22,0.534
384,445.26,350.07,460.92,375.98,0.544
385,469.48,305.84,483.69,329.73,0.553
386,493.69,261.6,506.47,283.49,0.562
387,517.91,217.36,529.25,237.25,0.571
388,543.14,235.66,554.84,255.97,0.581
389,568.36,253.95,580.43,274.68,0.591
390,593.59,272.24,606.02,293.4,0.602
391,618.82,290.54,631.61,312.12,0.612
392,644.05,308.83,657.21,330.83,0.623
393,669.28,327.12,682.8,349.55,0.633
394,694.51,345.42,708.39,368.26,0.643
395,719.74,363.71,733.98,386.98,0.654
396,744.97,382.0,759.57,405.7,0.664
397,770.2,400.29,785.16,424.41,0.674
398,795.43,418.59,810.75,443.13,0.685
399,820.65,436.88,836.34,461.85,0.695
400,845.88,455.17,861.93,480.56,0.705
401,782.92,447.58,803.39,481.09,0.652
402,760.03,429.28,780.09,461.94,0.675
403,737.14,410.97,756.79,442.79,0.699
404,714.24,392.66,733.49,423.64,0.723
405,691.35,374.35,710.19,404.49,0.746
406,668.46,356.04,686.89,385.34,0.77
407,645.57,337.73,663.59,366.19,0.794
408,622.68,319.43,640.29,347.05,0.818
409,543.6,286.16,560.51,314.89,0.731
410,536.72,296.8,553.26,324.47,0.731
411,529.83,307.44,546.02,334.04,0.73
412,522.94,318.08,538.78,343.61,0.73
413,516.06,328.71,531.54,353.19,0.73
414,509.17,339.35,524.3,362.76,0.729
415,526.32,343.25,541.45,366.56,0.709
416,543.47,347.14,558.59,370.36,0.688
417,560.62,351.04,575.74,374.16,0.668
418,577.77,354.93,592.88,377.96,0.647
419,594.92,358.83,610.03,381.76,0.627
420,612.07,362.72,627.17,385.57,0.606
421,588.54,342.18,604.61,369.08,0.595
422,591.23,337.28,607.15,364.04,0.592
423,593.92,332.38,609.68,358.99,0.589
424,596.61,327.48,612.22,353.94,0.586
425,599.3,322.58,614.75,348.89,0.583
426,601.99,317.68,617.29,343.84,0.58
427,604.69,312.78,619.82,338.79,0.577
428,607.38,307.88,622.36,333.74,0.573
429,610.07,302.98,624.89,328.7,0.57
430,612.76,298.08,627.43,323.65,0.567
431,615.45,293.18,629.97,318.6,0.564
432,618.14,288.28,632.5,313.55,0.561
433,620.83,283.38,635.04,308.5,0.558
434,623.52,278.48,637.57,303.45,0.555
435,653.67,274.65,667.62,299.35,0.555
436,683.83,270.82,697.66,295.25,0.555
437,713.98,266.99,727.7,291.15,0.556
438,744.14,263.16,757.75,287.05,0.556
439,774.29,259.34,787.79,282.95,0.557
440,804.45,255.51,817.83,278.85,0.557
441,834.6,251.68,847.88,274.75,0.557
442,864.75,247.85,877.92,270.65,0.558
443,894.91,244.03,907.97,266.55,0.558
444,925.06,240.2,938.01,262.45,0.559
445,905.02,235.92,921.08,260.79,0.61
446,884.01,231.84,898.47,254.97,0.699
447,863.0,227.75,875.87,249.15,0.787
448,850.59,224.09,865.65,246.57,0.68
449,838.71,222.74,852.16,245.36,0.573
450,817.26,228.44,830.73,248.83,0.631
451,791.93,228.9,805.31,251.34,0.693
452,766.61,229.36,779.88,253.85,0.755
453,743.54,236.26,757.19,260.43,0.686
454,720.47,243.16,734.49,267.01,0.618
455,723.66,255.56,737.85,279.33,0.629
456,726.85,267.95,741.21,291.64,0.639
457,730.03,280.34,744.57,303.96,0.65
458,733.22,292.74,747.93,316.27,0.661
459,736.4,305.13,751.28,328.59,0.671
460,739.59,317.52,754.64,340.9,0.682
461,742.78,329.92,758.0,353.21,0.692
462,745.96,342.31,761.36,365.53,0.703
463,749.15,354.7,764.72,377.84,0.714
464,752.34,367.1,768.08,390.16,0.724
465,755.52,379.49,771.44,402.47,0.735
466,713.34,390.11,729.41,413.79,0.732
467,671.16,400.74,687.38,425.1,0.729
468,628.99,411.36,645.35,436.41,0.725
469,586.81,421.99,603.32,447.72,0.722
470,544.63,432.61,561.29,459.03,0.719
471,502.45,443.23,519.26,470.34,0.716
472,460.27,453.86,477.23,481.65,0.713
473,418.09,464.48,435.21,492.96,0.709
474,375.92,475.11,393.18,504.28,0.706
475,333.74,485.73,351.15,515.59,0.703
476,291.56,496.36,309.12,526.9,0.7
477,249.38,506.98,267.09,538.21,0.697
478,207.2,517.6,225.06,549.52,0.693
479,165.02,528.23,183.03,560.83,0.69
480,122.84,538.85,141.0,572.14,0.687
